season,episode,code,index_title,title,words,url,file
3,12,0312,312 All The Jealousy,The One With All The Jealousy,3454,https://edersoncorbari.github.io/friends-scripts/season/0312.html,transcripts/season-03/s03e12-312-all-the-jealousy.txt
3,13,0313,313 Monica And Richard Are Just Friends,The One Where Monica and Richard Are Friends,3465,https://edersoncorbari.github.io/friends-scripts/season/0313.html,transcripts/season-03/s03e13-313-monica-and-richard-are-just-friends.txt
3,14,0314,314 Phoebe's Ex-Partner,The One With Phoebe’s Ex-Partner,3443,https://edersoncorbari.github.io/friends-scripts/season/0314.html,transcripts/season-03/s03e14-314-phoebe-s-ex-partner.txt
3,15,0315,315 Ross And Rachel Take A Break,The One Where Ross and Rachel Take A Break,3646,https://edersoncorbari.github.io/friends-scripts/season/0315.html,transcripts/season-03/s03e15-315-ross-and-rachel-take-a-break.txt
3,16,0316,316 The Morning After,The One The Morning After,4088,https://edersoncorbari.github.io/friends-scripts/season/0316.html,transcripts/season-03/s03e16-316-the-morning-after.txt
3,17,0317,317 The Ski Trip,The One Without The Ski Trip,3997,https://edersoncorbari.github.io/friends-scripts/season/0317.html,transcripts/season-03/s03e17-317-the-ski-trip.txt
3,18,0318,318 The Hypnosis Tape,The One With The Hypnosis Tape,3773,https://edersoncorbari.github.io/friends-scripts/season/0318.html,transcripts/season-03/s03e18-318-the-hypnosis-tape.txt
3,19,0319,319 The Tiny T-Shirt,The One With The Tiny T-shirt,3463,https://edersoncorbari.github.io/friends-scripts/season/0319.html,transcripts/season-03/s03e19-319-the-tiny-t-shirt.txt
3,20,0320,320 The Dullhouse,The One With The Dollhouse,3674,https://edersoncorbari.github.io/friends-scripts/season/0320.html,transcripts/season-03/s03e20-320-the-dullhouse.txt
3,21,0321,321 The Chick And The Duck,The One With A Chick. And A Duck,4125,https://edersoncorbari.github.io/friends-scripts/season/0321.html,transcripts/season-03/s03e21-321-the-chick-and-the-duck.txt
3,22,0322,322 The Screamer,The One With The Screamer,3772,https://edersoncorbari.github.io/friends-scripts/season/0322.html,transcripts/season-03/s03e22-322-the-screamer.txt
3,23,0323,323 Ross's Thing,The One With Ross's Thing,3782,https://edersoncorbari.github.io/friends-scripts/season/0323.html,transcripts/season-03/s03e23-323-ross-s-thing.txt
3,24,0324,324 The Ultimate Fighting Champion,The One With The Ultimate Fighting Champion,4000,https://edersoncorbari.github.io/friends-scripts/season/0324.html,transcripts/season-03/s03e24-324-the-ultimate-fighting-champion.txt
3,25,0325,325 At The Beach,The One At The Beach,3883,https://edersoncorbari.github.io/friends-scripts/season/0325.html,transcripts/season-03/s03e25-325-at-the-beach.txt
4,01,0401,401 The Jellyfish,The One With The Jellyfish,3523,https://edersoncorbari.github.io/friends-scripts/season/0401.html,transcripts/season-04/s04e01-401-the-jellyfish.txt
4,02,0402,402 The Cat,The One With The Cat,3357,https://edersoncorbari.github.io/friends-scripts/season/0402.html,transcripts/season-04/s04e02-402-the-cat.txt
4,03,0403,403 The Cuffs,The One With The ‘Cuffs,3805,https://edersoncorbari.github.io/friends-scripts/season/0403.html,transcripts/season-04/s04e03-403-the-cuffs.txt
4,04,0404,404 The Ballroom Dancing,The One With The Ballroom Dancing,3321,https://edersoncorbari.github.io/friends-scripts/season/0404.html,transcripts/season-04/s04e04-404-the-ballroom-dancing.txt
4,05,0405,405 Joey's New Girlfriend,The One With Joey's New Girlfriend,3430,https://edersoncorbari.github.io/friends-scripts/season/0405.html,transcripts/season-04/s04e05-405-joey-s-new-girlfriend.txt
4,06,0406,406 The Dirty Girl,The One With The Dirty Girl,3525,https://edersoncorbari.github.io/friends-scripts/season/0406.html,transcripts/season-04/s04e06-406-the-dirty-girl.txt
4,07,0407,407 Chandler Crosses The Line,The One Where Chandler Crosses a Line,3279,https://edersoncorbari.github.io/friends-scripts/season/0407.html,transcripts/season-04/s04e07-407-chandler-crosses-the-line.txt
4,08,0408,408 Chandler In A Box,The One With Chandler in a Box,3721,https://edersoncorbari.github.io/friends-scripts/season/0408.html,transcripts/season-04/s04e08-408-chandler-in-a-box.txt
4,09,0409,409 They're Going To Party,The One Where They’re Gonna PARTY!,3535,https://edersoncorbari.github.io/friends-scripts/season/0409.html,transcripts/season-04/s04e09-409-they-re-going-to-party.txt
4,10,0410,410 The Girl From Poughkeepsie,The One With The Girl From Poughkeepsie,3511,https://edersoncorbari.github.io/friends-scripts/season/0410.html,transcripts/season-04/s04e10-410-the-girl-from-poughkeepsie.txt
4,11,0411,411 Phoebe's Uterus,The One With Phoebe’s Uterus,3382,https://edersoncorbari.github.io/friends-scripts/season/0411.html,transcripts/season-04/s04e11-411-phoebe-s-uterus.txt
4,12,0412,412 The Embryos,The One With The Embryos,3421,https://edersoncorbari.github.io/friends-scripts/season/0412.html,transcripts/season-04/s04e12-412-the-embryos.txt
4,13,0413,413 Rachel's Crush,The One With Rachel’s Crush,3852,https://edersoncorbari.github.io/friends-scripts/season/0413.html,transcripts/season-04/s04e13-413-rachel-s-crush.txt
4,14,0414,414 Joey's Dirty Day,The One With Joey’s Dirty Day,4080,https://edersoncorbari.github.io/friends-scripts/season/0414.html,transcripts/season-04/s04e14-414-joey-s-dirty-day.txt
4,15,0415,415 All The Rugby,The One With All The Rugby,3804,https://edersoncorbari.github.io/friends-scripts/season/0415.html,transcripts/season-04/s04e15-415-all-the-rugby.txt
4,16,0416,416 The Fake Party,The One With The Fake Party,3549,https://edersoncorbari.github.io/friends-scripts/season/0416.html,transcripts/season-04/s04e16-416-the-fake-party.txt
4,17,0417,417 The Free Porn,The One With The Free Porn,3643,https://edersoncorbari.github.io/friends-scripts/season/0417.html,transcripts/season-04/s04e17-417-the-free-porn.txt
4,18,0418,418 Rachel's New Dress,The One With Rachel’s New Dress,3551,https://edersoncorbari.github.io/friends-scripts/season/0418.html,transcripts/season-04/s04e18-418-rachel-s-new-dress.txt
4,19,0419,419 All The Haste,The One With All The Haste,3318,https://edersoncorbari.github.io/friends-scripts/season/0419.html,transcripts/season-04/s04e19-419-all-the-haste.txt
4,20,0420,420 The Wedding Dresses,The One With All the Wedding Dresses,3282,https://edersoncorbari.github.io/friends-scripts/season/0420.html,transcripts/season-04/s04e20-420-the-wedding-dresses.txt
4,21,0421,421 The Invitation,The One With The Invitation,4111,https://edersoncorbari.github.io/friends-scripts/season/0421.html,transcripts/season-04/s04e21-421-the-invitation.txt
4,22,0422,422 The Worst Best Man Ever,The One With The Worst Best Man Ever,3845,https://edersoncorbari.github.io/friends-scripts/season/0422.html,transcripts/season-04/s04e22-422-the-worst-best-man-ever.txt
4,23,0423,423 Ross's Wedding,The One With Ross’s Wedding Parts I and II,7823,https://edersoncorbari.github.io/friends-scripts/season/0423.html,transcripts/season-04/s04e23-423-ross-s-wedding.txt
5,01,0501,501 Ross Says Rachel,The One After Ross Says Rachel,3593,https://edersoncorbari.github.io/friends-scripts/season/0501.html,transcripts/season-05/s05e01-501-ross-says-rachel.txt
5,02,0502,502 All The Kissing,The One With All The Kissing,3458,https://edersoncorbari.github.io/friends-scripts/season/0502.html,transcripts/season-05/s05e02-502-all-the-kissing.txt
5,03,0503,503 Hundredth,The One Hundredth,3497,https://edersoncorbari.github.io/friends-scripts/season/0503.html,transcripts/season-05/s05e03-503-hundredth.txt
5,04,0504,504 Phoebe Hates PBS,The One Where Phoebe Hates PBS,3562,https://edersoncorbari.github.io/friends-scripts/season/0504.html,transcripts/season-05/s05e04-504-phoebe-hates-pbs.txt
5,05,0505,505 The Kips,The One With All the Kips,3395,https://edersoncorbari.github.io/friends-scripts/season/0505.html,transcripts/season-05/s05e05-505-the-kips.txt
5,06,0506,506 The Yeti,The One With The Yeti,3561,https://edersoncorbari.github.io/friends-scripts/season/0506.html,transcripts/season-05/s05e06-506-the-yeti.txt
5,07,0507,507 Ross Moves In,The One Where Ross Moves In,3900,https://edersoncorbari.github.io/friends-scripts/season/0507.html,transcripts/season-05/s05e07-507-ross-moves-in.txt
5,08,0508,508 The Thanksgiving Flashbacks,The One With The Thanksgiving Flashbacks,4070,https://edersoncorbari.github.io/friends-scripts/season/0508.html,transcripts/season-05/s05e08-508-the-thanksgiving-flashbacks.txt
5,09,0509,509 Ross's Sandwich,The One With Ross's Sandwich,3461,https://edersoncorbari.github.io/friends-scripts/season/0509.html,transcripts/season-05/s05e09-509-ross-s-sandwich.txt
5,10,0510,510 The Inappropriate Sister,The One With The Inappropriate Sister,4167,https://edersoncorbari.github.io/friends-scripts/season/0510.html,transcripts/season-05/s05e10-510-the-inappropriate-sister.txt
5,11,0511,511 All The Resulutions,The One With All The Resolutions,3985,https://edersoncorbari.github.io/friends-scripts/season/0511.html,transcripts/season-05/s05e11-511-all-the-resulutions.txt
5,12,0512,512 Chandler's Work Laugh,The One With Chandler's Work Laugh,3775,https://edersoncorbari.github.io/friends-scripts/season/0512.html,transcripts/season-05/s05e12-512-chandler-s-work-laugh.txt
5,13,0513,513 Joey's Bag,The One With Joey's Bag,3660,https://edersoncorbari.github.io/friends-scripts/season/0513.html,transcripts/season-05/s05e13-513-joey-s-bag.txt
5,14,0514,514 Everybody Finds Out,The One Where Everyone Finds Out,3688,https://edersoncorbari.github.io/friends-scripts/season/0514.html,transcripts/season-05/s05e14-514-everybody-finds-out.txt
5,15,0515,515 The Girl Who Hits Joey,The One With The Girl Who Hits Joey,3795,https://edersoncorbari.github.io/friends-scripts/season/0515.html,transcripts/season-05/s05e15-515-the-girl-who-hits-joey.txt
5,16,0516,516 The Cop,The One With A Cop,4017,https://edersoncorbari.github.io/friends-scripts/season/0516.html,transcripts/season-05/s05e16-516-the-cop.txt
5,17,0517,517 Rachel's Inadvertant Kiss,The One With Rachel's Inadvertant Kiss,3944,https://edersoncorbari.github.io/friends-scripts/season/0517.html,transcripts/season-05/s05e17-517-rachel-s-inadvertant-kiss.txt
5,18,0518,518 Rachel Smokes,The One Where Rachel Smokes,3905,https://edersoncorbari.github.io/friends-scripts/season/0518.html,transcripts/season-05/s05e18-518-rachel-smokes.txt
5,19,0519,519 Ross Can't Flirt,The One Where Ross Can't Flirt,3886,https://edersoncorbari.github.io/friends-scripts/season/0519.html,transcripts/season-05/s05e19-519-ross-can-t-flirt.txt
5,20,0520,520 The Ride Along,The One With The Ride Along,3648,https://edersoncorbari.github.io/friends-scripts/season/0520.html,transcripts/season-05/s05e20-520-the-ride-along.txt
5,21,0521,521 The Ball,The One With The Ball,4432,https://edersoncorbari.github.io/friends-scripts/season/0521.html,transcripts/season-05/s05e21-521-the-ball.txt
5,22,0522,522 Joey's Big Break,The One With Joey's Big Break,4651,https://edersoncorbari.github.io/friends-scripts/season/0522.html,transcripts/season-05/s05e22-522-joey-s-big-break.txt
5,23,0523,523 In Vegas,The One In Vegas,8316,https://edersoncorbari.github.io/friends-scripts/season/0523.html,transcripts/season-05/s05e23-523-in-vegas.txt
6,01,0601,601 Vegas,The One After Vegas,3526,https://edersoncorbari.github.io/friends-scripts/season/0601.html,transcripts/season-06/s06e01-601-vegas.txt
6,02,0602,602 Ross Hugs Rachel,The One Where Ross Hugs Rachel,3717,https://edersoncorbari.github.io/friends-scripts/season/0602.html,transcripts/season-06/s06e02-602-ross-hugs-rachel.txt
6,03,0603,603 Ross's Denial,The One With Ross’s Denial,3853,https://edersoncorbari.github.io/friends-scripts/season/0603.html,transcripts/season-06/s06e03-603-ross-s-denial.txt
6,04,0604,604 Joey Loses His Insurance,The One Where Joey Loses His Insurance,3807,https://edersoncorbari.github.io/friends-scripts/season/0604.html,transcripts/season-06/s06e04-604-joey-loses-his-insurance.txt
6,05,0605,605 Joey's Porsche,The One With Joey’s Porsche,4006,https://edersoncorbari.github.io/friends-scripts/season/0605.html,transcripts/season-06/s06e05-605-joey-s-porsche.txt
6,06,0606,606 On The Last Night,The One The Last Night,3868,https://edersoncorbari.github.io/friends-scripts/season/0606.html,transcripts/season-06/s06e06-606-on-the-last-night.txt
6,07,0607,607 Phoebe Runs,The One Where Phoebe Runs,3445,https://edersoncorbari.github.io/friends-scripts/season/0607.html,transcripts/season-06/s06e07-607-phoebe-runs.txt
6,08,0608,608 Ross's Teeth,The One With Ross’s Teeth,3502,https://edersoncorbari.github.io/friends-scripts/season/0608.html,transcripts/season-06/s06e08-608-ross-s-teeth.txt
6,09,0609,609 Ross Got High,The One Where Ross Got High,4365,https://edersoncorbari.github.io/friends-scripts/season/0609.html,transcripts/season-06/s06e09-609-ross-got-high.txt
6,10,0610,610 The Routine,The One With The Routinue,3397,https://edersoncorbari.github.io/friends-scripts/season/0610.html,transcripts/season-06/s06e10-610-the-routine.txt
