season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
4,11,0411,Firework Run,3,2,1,3,10,Preview first — about 10+,"Sex & hookups — Muscle Man: “I know, I know. Just hear me out. I know a guy who's got the hook up on cheap fireworks.”"
4,12,0412,The Longest Weekend,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,13,0413,Sandwich of Death,3,1,1,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,14,0414,Ace Balthazar Lives,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,15,0415,Do or Diaper,1,2,1,2,8,Mild — okay from about 8+,Sex & hookups — Muscle Man and Starla make out
4,16,0416,Quips,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,17,0417,Caveman,3,1,1,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,18,0418,That's My Television,3,1,1,3,10,Preview first — about 10+,"Nudity & bodies — Mordecai and Rigby pull the front of RGB2's case off, to reveal a naked man curled up inside"
4,19,0419,A Bunch of Full Grown Geese,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,20,0420,Fool Me Twice,3,1,1,3,10,Preview first — about 10+,Violence & injury — He and Rigby are repeatedly shot in the stomach by tennis balls.
4,21,0421,Limousine Lunchtime,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,22,0422,Picking Up Margaret,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,23,0423,K.I.L.I.T. Radio,2,1,1,2,8,Mild — okay from about 8+,"Sex & hookups — Muscle Man: “Yeah, we totally got the hook up from Donny G! Man, I can't wait to see Starla's face tonight. She's gonna be real appreciative.”"
4,24,0424,Carter and Briggs,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,25,0425,Skips Stress,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — He grabs it and turns around to stab it in the mouth of the monster, going straight through it and causing it to completely vanish."
4,26,0426,Cool Cubed,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,27,0427,Trailer Trashed,3,1,1,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,28,0428,Meteor Moves,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,29,0429,Family BBQ,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,30,0430,The Last LaserDisc Player,3,1,1,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,31,0431,Country Club,3,1,1,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,32,0432,Blind Trust,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,33,0433,World's Best Boss,3,1,1,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
4,34,0434,Last Meal,3,1,1,3,10,Preview first — about 10+,"Affairs / cheating — Muscle Man: “I'm not gonna lie to her about cheating on this diet, but I don't care if you do.”"
